CÓDIGO,NOMBRE (catálogo Odoo),Presentación,,
,,,Lista USD,Lista BCV (Euro)
,,,USD s/IVA,VES s/IVA
289,TurbiGlob ISO 68 Tambor 208 L,,791.38,988.79
294,TurbiGlob ISO 100 Tambor 208 L,,806.9,"1,007.76"
299,TurbiGlob ISO 150 Tambor 208 L,,815.52,"1,019.83"
304,TermoGlob ISO 22 Mineral Tambor 208 L,,756.03,944.83
307,TERMOGLOB ISO 32 (Paila),,86.21,107.76
309,TermoGlob ISO 32 Mineral Tambor 208 L,,771.55,963.79
314,TermoGlob ISO 46 Mineral Tambor 208 L,,781.9,976.72
319,TermoGlob ISO 68 Mineral Tambor 208 L,,795.69,993.97
324,TermoGlob ISO 100 Mineral Tambor 208 L,,806.03,"1,007.76"
329,TermoGlob ISO 150 Mineral Tambor 208 L,,824.14,"1,030.17"
334,TermoGlob ISO 220 Mineral Tambor 208 L,,833.62,"1,041.38"
337,GLOBAL SOLUBLE ACEITE EMULSIONABLE CORTES DE METAL (PAILA),,113.79,142.24
458,"API CI ‐ 4 SAE 20W‐50 Diésel Multigrado Paila Plus 18,92 L",,94.83,118.97
459,API CI ‐ 4 SAE 20W‐50 Diésel Multigrado Tambor Plus 208 L,,943.1,"1,179.31"
460,"CF/SF SAE 50 Diésel Monogrado Paila Plus 18,92 L",,86.21,107.76
461,CF/SF SAE 50 Diésel Monogrado Tambor Plus 208 L,,878.45,"1,097.41"
462,"API CI ‐ 4 SAE 15W‐40 Diésel Multigrado Paila Plus 18,92 L",,91.38,113.79
466,"SAE 10W30 Paila 18,92 L",,74.14,93.1
467,W SAE 40 Tambor 208 L,,874.14,"1,093.10"
468,SAE 10W30 Tambor 208 L,,867.24,"1,084.48"
473,SS EXTRA PROTECCION API CI-4 10W-30 (Diesel) (1x6),,31.9,39.66
474,API CI ‐ 4 SAE 15W‐40 Diésel Multigrado Tambor Plus 208 L,,920.69,"1,150.86"
494,TurbiGlob ISO 220 Tambor 208 L,,815.52,"1,019.83"
500,CF/SF SAE 40 Diésel Monogrado Tambor 208 L,,834.48,"1,043.10"
533,CF/SF SAE 20W 50 Diésel Multigrado Tambor 208 L,,879.31,"1,099.14"
536,MAXIMO API CF SAE 20W-50 (PAILA),,89.66,111.21
537,"Máximo CF/SF SAE 40 Paila 18,92 L",,,
544,"Global Pivote EP Paila 18,92 L",,104.31,130.17
561,MEJORADOR DE OCTANAJE GLOBAL OIL PACK (1X12),,29.31,37.07
599,Tren CF/CF‐2 SAE 40 Tambor 208 L,,984.48,"1,230.17"
602,SINOCO SAE 50 (PAILA),,57.76,72.41
603,SINOCO SAE 50 (Tambor),,547.41,683.62
605,SINOCO SAE 20W-50 (PAILA),,57.76,72.41
606,SINOCO SAE 20W-50 (Tambor),,547.41,683.62
717,C SAE 15W 40 Tambor 208 L,,907.76,"1,134.48"
725,AGUA DESMINERALIZADA,,13.79,17.24
761,LIGA PARA FRENOS DOT-3 (1x12),,22.41,28.45
762,LIGA PARA FRENOS DOT-3 (1x6),,33.62,42.24
774,LIGA PARA FRENOS DOT-4 (1X6),,40.52,50.86
775,LIGA PARA FRENOS DOT-4 (1X12),,26.72,32.76
