so,code,prod,fch,monpago,lista,pu,esperado,src,usd_pay,ves_pay,flag,absdev,pct,dist_nearest_list
S00059,881.0,[0881] CLASICO API SL SAE 20W-,2026-03-10,USD,USD,58.7794,63.0,feb23,63.0,79.0,por_debajo,4.2205999999999975,-6.699365079365076,4.2205999999999975
S00059,878.0,[0878] SS EXTRA PROTECCION API,2026-03-10,USD,USD,66.9705,72.0,feb23,72.0,90.0,por_debajo,5.029499999999999,-6.985416666666665,5.029499999999999
S00065,880.0,[0880] CLASICO API SL SAE 15W-,2026-03-11,VES,VES,57.4917,78.0,feb23,62.0,78.0,por_debajo,20.5083,-26.292692307692306,4.508299999999998
S00065,881.0,[0881] CLASICO API SL SAE 20W-,2026-03-11,VES,VES,58.2271,79.0,feb23,63.0,79.0,por_debajo,20.7729,-26.29481012658228,4.7729
S00065,878.0,[0878] SS EXTRA PROTECCION API,2026-03-11,VES,VES,66.3412,90.0,feb23,72.0,90.0,por_debajo,23.6588,-26.287555555555553,5.658799999999999
S00063,887.0,[0887] MOTOCLASICO 4T SAE 20W-,2026-03-11,VES,VES,62.0679,82.0,feb23,66.0,82.0,por_debajo,19.9321,-24.30743902439024,3.9320999999999984
S00054,884.0,[0884] TRANSMATIC ATF DEXRON I,2026-03-11,VES,VES,62.8275,83.0,feb23,67.0,83.0,por_debajo,20.1725,-24.30421686746988,4.172499999999999
S00054,880.0,[0880] CLASICO API SL SAE 15W-,2026-03-11,VES,VES,58.0371,78.0,feb23,62.0,78.0,por_debajo,19.962899999999998,-25.593461538461536,3.9628999999999976
S00054,887.0,[0887] MOTOCLASICO 4T SAE 20W-,2026-03-11,VES,VES,62.0679,82.0,feb23,66.0,82.0,por_debajo,19.9321,-24.30743902439024,3.9320999999999984
S00067,886.0,[0886] TRANSMATIC DEXRON VI (1,2026-03-11,VES,VES,138.36,131.0,feb23,105.0,131.0,por_encima,7.360000000000014,5.618320610687033,7.360000000000014
S00069,878.0,[0878] SS EXTRA PROTECCION API,2026-03-11,USD,USD,66.6398,72.0,feb23,72.0,90.0,por_debajo,5.360200000000006,-7.4447222222222305,5.360200000000006
S00069,884.0,[0884] TRANSMATIC ATF DEXRON I,2026-03-11,USD,USD,62.5172,67.0,feb23,67.0,83.0,por_debajo,4.4827999999999975,-6.690746268656713,4.4827999999999975
S00069,887.0,[0887] MOTOCLASICO 4T SAE 20W-,2026-03-11,USD,USD,61.7614,66.0,feb23,66.0,82.0,por_debajo,4.238599999999998,-6.422121212121209,4.238599999999998
S00069,881.0,[0881] CLASICO API SL SAE 20W-,2026-03-11,USD,USD,58.4891,63.0,feb23,63.0,79.0,por_debajo,4.5108999999999995,-7.160158730158729,4.5108999999999995
S00066,877.0,[0877] SS EXTRA PROTECCION API,2026-03-11,USD,USD,90.48,72.0,feb23,72.0,96.0,por_encima,18.480000000000004,25.66666666666667,5.519999999999996
S00062,880.0,[0880] CLASICO API SL SAE 15W-,2026-03-11,USD,USD,67.25,62.0,feb23,62.0,78.0,por_encima,5.25,8.46774193548387,5.25
S00062,878.0,[0878] SS EXTRA PROTECCION API,2026-03-11,USD,USD,77.59,72.0,feb23,72.0,90.0,por_encima,5.590000000000003,7.763888888888894,5.590000000000003
S00062,884.0,[0884] TRANSMATIC ATF DEXRON I,2026-03-11,USD,USD,71.56,67.0,feb23,67.0,83.0,por_encima,4.560000000000002,6.805970149253734,4.560000000000002
S00062,881.0,[0881] CLASICO API SL SAE 20W-,2026-03-11,USD,USD,68.11,63.0,feb23,63.0,79.0,por_encima,5.109999999999999,8.11111111111111,5.109999999999999
