so,code,prod,fch,monpago,lista,pu,esperado,src,usd_pay,ves_pay,flag
S00025,107.0,[0107] TRANSMATIC ATF DEXRON I,2026-03-04,nan,INDETERMINADA,85.8189,,,91.0,114.0,lista_indeterminada
S00028,779.0,[0779] SINOCO SAE 20W-50 (1x12,2026-03-04,VES,VES,59.72,,,,,producto_sin_lista
S00033,879.0,[0879] CARIBE FUERA DE BORDA T,2026-03-05,USD,USD,69.83,65.0,feb23,65.0,81.0,por_encima
S00042,886.0,[0886] TRANSMATIC DEXRON VI (1,2026-03-06,VES,VES,131.0,131.0,feb23,105.0,131.0,ok
S00043,915.0,[0915] SINOCO SAE 50 (1x12),2026-03-06,VES,VES,52.6584,,,,,producto_sin_lista
S00043,602.0,[0602] SINOCO SAE 50 (PAILA),2026-03-06,VES,VES,73.7165,,,,,producto_sin_lista
S00043,881.0,[0881] CLASICO API SL SAE 20W-,2026-03-06,VES,VES,59.7669,79.0,feb23,63.0,79.0,por_debajo
S00044,603.0,[0603] SINOCO SAE 50 (Tambor),2026-03-06,USD,USD,695.9462,,,,,producto_sin_lista
S00045,779.0,[0779] SINOCO SAE 20W-50 (1x12,2026-03-09,Sin Pago,INDETERMINADA,51.7173,,,,,lista_indeterminada
S00004,884.0,[0884] TRANSMATIC ATF DEXRON I,2026-03-09,USD,USD,71.56,67.0,feb23,67.0,83.0,por_encima
S00004,121.0,[0121] TRANSGLOB API GL-5 SAE ,2026-03-09,USD,USD,38.8,36.0,feb23,36.0,45.0,por_encima
S00004,877.0,[0877] SS EXTRA PROTECCION API,2026-03-09,USD,USD,90.48,72.0,feb23,72.0,96.0,por_encima
S00014,883.0,[0883] GRASA GLOBAL AZUL AZ 95,2026-03-09,VES,VES,70.9031,95.0,feb23,76.0,95.0,por_debajo
S00015,13.0,[0013] ELITE API SN SAE 5W-30 ,2026-03-09,VES,VES,43.289,58.0,feb23,46.0,58.0,por_debajo
S00015,880.0,[0880] CLASICO API SL SAE 15W-,2026-03-09,VES,VES,58.4685,78.0,feb23,62.0,78.0,por_debajo
S00015,877.0,[0877] SS EXTRA PROTECCION API,2026-03-09,VES,VES,71.9659,96.0,feb23,72.0,96.0,por_debajo
S00015,7.0,[0007] ELITE API SN SAE 5W-20 ,2026-03-09,VES,VES,43.289,58.0,feb23,46.0,58.0,por_debajo
S00017,887.0,[0887] MOTOCLASICO 4T SAE 20W-,2026-03-09,VES,VES,61.4689,82.0,feb23,66.0,82.0,por_debajo
S00017,775.0,[0775] LIGA PARA FRENOS DOT-4 ,2026-03-09,VES,VES,28.4906,38.0,feb23,31.0,38.0,por_debajo
S00018,779.0,[0779] SINOCO SAE 20W-50 (1x12,2026-03-09,USD,USD,51.73,,,,,producto_sin_lista
S00020,725.0,[0725] AGUA DESMINERALIZADA,2026-03-09,VES,VES,17.2414,20.0,feb23,16.0,20.0,por_debajo
S00020,877.0,[0877] SS EXTRA PROTECCION API,2026-03-09,VES,VES,71.9659,96.0,feb23,72.0,96.0,por_debajo
S00020,761.0,[0761] LIGA PARA FRENOS DOT-3 ,2026-03-09,VES,VES,24.738,33.0,feb23,26.0,33.0,por_debajo
S00020,880.0,[0880] CLASICO API SL SAE 15W-,2026-03-09,VES,VES,58.4685,78.0,feb23,62.0,78.0,por_debajo
S00020,121.0,[0121] TRANSGLOB API GL-5 SAE ,2026-03-09,VES,VES,33.8709,45.0,feb23,36.0,45.0,por_debajo
S00020,779.0,[0779] SINOCO SAE 20W-50 (1x12,2026-03-09,VES,VES,52.1772,,,,,producto_sin_lista
S00021,877.0,[0877] SS EXTRA PROTECCION API,2026-03-09,VES,VES,71.9659,96.0,feb23,72.0,96.0,por_debajo
S00021,881.0,[0881] CLASICO API SL SAE 20W-,2026-03-09,VES,VES,59.2208,79.0,feb23,63.0,79.0,por_debajo
S00021,779.0,[0779] SINOCO SAE 20W-50 (1x12,2026-03-09,VES,VES,52.1772,,,,,producto_sin_lista
S00022,779.0,[0779] SINOCO SAE 20W-50 (1x12,2026-03-09,USD,USD,51.73,,,,,producto_sin_lista
S00023,779.0,[0779] SINOCO SAE 20W-50 (1x12,2026-03-09,USD,USD,51.73,,,,,producto_sin_lista
S00023,915.0,[0915] SINOCO SAE 50 (1x12),2026-03-09,USD,USD,51.73,,,,,producto_sin_lista
S00024,127.0,[0127] TRANSGLOB API GL-5 SAE ,2026-03-09,VES,VES,33.7305,45.0,feb23,36.0,45.0,por_debajo
S00024,774.0,[0774] LIGA PARA FRENOS DOT-4 ,2026-03-09,VES,VES,44.2275,59.0,feb23,47.0,59.0,por_debajo
S00026,884.0,[0884] TRANSMATIC ATF DEXRON I,2026-03-09,USD,USD,62.4801,67.0,feb23,67.0,83.0,por_debajo
S00029,881.0,[0881] CLASICO API SL SAE 20W-,2026-03-09,USD,USD,68.11,63.0,feb23,63.0,79.0,por_encima
S00029,880.0,[0880] CLASICO API SL SAE 15W-,2026-03-09,USD,USD,67.25,62.0,feb23,62.0,78.0,por_encima
S00029,877.0,[0877] SS EXTRA PROTECCION API,2026-03-09,USD,USD,90.48,72.0,feb23,72.0,96.0,por_encima
S00031,779.0,[0779] SINOCO SAE 20W-50 (1x12,2026-03-09,VES,VES,51.7226,,,,,producto_sin_lista
S00031,877.0,[0877] SS EXTRA PROTECCION API,2026-03-09,VES,VES,72.9158,96.0,feb23,72.0,96.0,por_debajo
S00032,19.0,[0019] ELITE API SN SAE 5W-40 ,2026-03-09,VES,VES,43.5326,58.0,feb23,46.0,58.0,por_debajo
S00034,107.0,[0107] TRANSMATIC ATF DEXRON I,2026-03-09,VES,VES,86.0124,114.0,feb23,91.0,114.0,por_debajo
S00034,602.0,[0602] SINOCO SAE 50 (PAILA),2026-03-09,VES,VES,73.5123,,,,,producto_sin_lista
S00036,877.0,[0877] SS EXTRA PROTECCION API,2026-03-09,VES,VES,72.4284,96.0,feb23,72.0,96.0,por_debajo
S00036,121.0,[0121] TRANSGLOB API GL-5 SAE ,2026-03-09,VES,VES,33.9473,45.0,feb23,36.0,45.0,por_debajo
S00036,602.0,[0602] SINOCO SAE 50 (PAILA),2026-03-09,VES,VES,73.5123,,,,,producto_sin_lista
S00036,884.0,[0884] TRANSMATIC ATF DEXRON I,2026-03-09,VES,VES,62.621,83.0,feb23,67.0,83.0,por_debajo
S00036,605.0,[0605] SINOCO SAE 20W-50 (PAIL,2026-03-09,VES,VES,73.5123,,,,,producto_sin_lista
S00036,761.0,[0761] LIGA PARA FRENOS DOT-3 ,2026-03-09,VES,VES,24.897,33.0,feb23,26.0,33.0,por_debajo
S00027,887.0,[0887] MOTOCLASICO 4T SAE 20W-,2026-03-09,USD,USD,70.69,66.0,feb23,66.0,82.0,por_encima
S00027,877.0,[0877] SS EXTRA PROTECCION API,2026-03-09,USD,USD,90.48,72.0,feb23,72.0,96.0,por_encima
S00027,884.0,[0884] TRANSMATIC ATF DEXRON I,2026-03-09,USD,USD,71.56,67.0,feb23,67.0,83.0,por_encima
S00027,779.0,[0779] SINOCO SAE 20W-50 (1x12,2026-03-09,USD,USD,51.73,,,,,producto_sin_lista
S00030,775.0,[0775] LIGA PARA FRENOS DOT-4 ,2026-03-09,USD,USD,28.8666,31.0,feb23,31.0,38.0,por_debajo
S00030,779.0,[0779] SINOCO SAE 20W-50 (1x12,2026-03-09,USD,USD,51.7226,,,,,producto_sin_lista
S00030,884.0,[0884] TRANSMATIC ATF DEXRON I,2026-03-09,USD,USD,63.0424,67.0,feb23,67.0,83.0,por_debajo
S00037,761.0,[0761] LIGA PARA FRENOS DOT-3 ,2026-03-09,USD,USD,28.45,26.0,feb23,26.0,33.0,por_encima
S00037,93.0,[0093] ALTA CILINDRADA SS API ,2026-03-09,USD,USD,36.21,34.0,feb23,34.0,42.0,por_encima
S00038,25.0,[0025] SS EXTRA PROTECCION API,2026-03-09,USD,USD,38.8,36.0,feb23,36.0,45.0,por_encima
S00039,761.0,[0761] LIGA PARA FRENOS DOT-3 ,2026-03-09,VES,VES,24.897,33.0,feb23,26.0,33.0,por_debajo
S00040,779.0,[0779] SINOCO SAE 20W-50 (1x12,2026-03-09,USD,USD,51.1513,,,,,producto_sin_lista
S00040,761.0,[0761] LIGA PARA FRENOS DOT-3 ,2026-03-09,USD,USD,24.7877,26.0,feb23,26.0,33.0,por_debajo
S00040,121.0,[0121] TRANSGLOB API GL-5 SAE ,2026-03-09,USD,USD,33.7983,36.0,feb23,36.0,45.0,por_debajo
S00040,19.0,[0019] ELITE API SN SAE 5W-40 ,2026-03-09,USD,USD,43.5711,46.0,feb23,46.0,58.0,por_debajo
S00040,13.0,[0013] ELITE API SN SAE 5W-30 ,2026-03-09,USD,USD,43.5711,46.0,feb23,46.0,58.0,por_debajo
S00040,7.0,[0007] ELITE API SN SAE 5W-20 ,2026-03-09,USD,USD,43.5711,46.0,feb23,46.0,58.0,por_debajo
S00040,25.0,[0025] SS EXTRA PROTECCION API,2026-03-09,USD,USD,33.7983,36.0,feb23,36.0,45.0,por_debajo
S00040,878.0,[0878] SS EXTRA PROTECCION API,2026-03-09,USD,USD,67.6051,72.0,feb23,72.0,90.0,por_debajo
S00040,881.0,[0881] CLASICO API SL SAE 20W-,2026-03-09,USD,USD,59.3397,63.0,feb23,63.0,79.0,por_debajo
S00040,884.0,[0884] TRANSMATIC ATF DEXRON I,2026-03-09,USD,USD,62.346,67.0,feb23,67.0,83.0,por_debajo
S00040,762.0,[0762] LIGA PARA FRENOS DOT-3 ,2026-03-09,USD,USD,36.8046,39.0,feb23,39.0,49.0,por_debajo
S00040,887.0,[0887] MOTOCLASICO 4T SAE 20W-,2026-03-09,USD,USD,61.5923,66.0,feb23,66.0,82.0,por_debajo
S00041,882.0,[0882] GRASA MULTIPLE EP 200 (,2026-03-09,USD,USD,173.28,161.0,feb23,161.0,201.0,por_encima
S00047,83.0,[0083] MAXIMO API CF SAE 50 (P,2026-03-09,VES,VES,102.0,102.0,feb23,81.0,102.0,ok
S00048,761.0,[0761] LIGA PARA FRENOS DOT-3 ,2026-03-09,VES,VES,24.6833,33.0,feb23,26.0,33.0,por_debajo
S00048,792.0,[0792] REFRIGERANTE GLOBAL ROJ,2026-03-09,VES,VES,21.6896,29.0,feb23,24.0,29.0,por_debajo
S00050,602.0,[0602] SINOCO SAE 50 (PAILA),2026-03-09,USD,USD,72.42,,,,,producto_sin_lista
S00052,602.0,[0602] SINOCO SAE 50 (PAILA),2026-03-10,USD,USD,72.42,,,,,producto_sin_lista
S00046,602.0,[0602] SINOCO SAE 50 (PAILA),2026-03-10,USD,USD,72.42,,,,,producto_sin_lista
S00053,603.0,[0603] SINOCO SAE 50 (Tambor),2026-03-10,VES,VES,683.04,,,,,producto_sin_lista
S00051,915.0,[0915] SINOCO SAE 50 (1x12),2026-03-10,USD,USD,51.73,,,,,producto_sin_lista
S00051,779.0,[0779] SINOCO SAE 20W-50 (1x12,2026-03-10,USD,USD,51.73,,,,,producto_sin_lista
S00049,878.0,[0878] SS EXTRA PROTECCION API,2026-03-10,USD,USD,66.9873,72.0,feb23,72.0,90.0,por_debajo
S00049,915.0,[0915] SINOCO SAE 50 (1x12),2026-03-10,USD,USD,52.0618,,,,,producto_sin_lista
S00049,761.0,[0761] LIGA PARA FRENOS DOT-3 ,2026-03-10,USD,USD,24.6833,26.0,feb23,26.0,33.0,por_debajo
S00049,87.0,[0087] ENDUROGLOB 2T AIRE (1x6,2026-03-10,USD,USD,30.6622,33.0,feb23,33.0,41.0,por_debajo
S00049,779.0,[0779] SINOCO SAE 20W-50 (1x12,2026-03-10,USD,USD,50.936,,,,,producto_sin_lista
S00049,602.0,[0602] SINOCO SAE 50 (PAILA),2026-03-10,USD,USD,72.8814,,,,,producto_sin_lista
S00049,884.0,[0884] TRANSMATIC ATF DEXRON I,2026-03-10,USD,USD,62.0835,67.0,feb23,67.0,83.0,por_debajo
S00049,887.0,[0887] MOTOCLASICO 4T SAE 20W-,2026-03-10,USD,USD,61.333,66.0,feb23,66.0,82.0,por_debajo
S00049,881.0,[0881] CLASICO API SL SAE 20W-,2026-03-10,USD,USD,58.7941,63.0,feb23,63.0,79.0,por_debajo
S00055,877.0,[0877] SS EXTRA PROTECCION API,2026-03-10,USD,USD,90.48,72.0,feb23,72.0,96.0,por_encima
S00056,605.0,[0605] SINOCO SAE 20W-50 (PAIL,2026-03-10,USD,USD,72.42,,,,,producto_sin_lista
S00060,887.0,[0887] MOTOCLASICO 4T SAE 20W-,2026-03-10,USD,USD,62.0679,66.0,feb23,66.0,82.0,por_debajo
S00060,93.0,[0093] ALTA CILINDRADA SS API ,2026-03-10,USD,USD,31.7978,34.0,feb23,34.0,42.0,por_debajo
S00060,761.0,[0761] LIGA PARA FRENOS DOT-3 ,2026-03-10,USD,USD,24.9791,26.0,feb23,26.0,33.0,por_debajo
S00058,915.0,[0915] SINOCO SAE 50 (1x12),2026-03-10,Sin Pago,INDETERMINADA,52.6856,,,,,lista_indeterminada
S00058,779.0,[0779] SINOCO SAE 20W-50 (1x12,2026-03-10,Sin Pago,INDETERMINADA,51.5463,,,,,lista_indeterminada
S00057,775.0,[0775] LIGA PARA FRENOS DOT-4 ,2026-03-10,VES,VES,28.7682,38.0,feb23,31.0,38.0,por_debajo
S00057,792.0,[0792] REFRIGERANTE GLOBAL ROJ,2026-03-10,VES,VES,21.9495,29.0,feb23,24.0,29.0,por_debajo
S00057,789.0,[0789] REFRIGERANTE GLOBAL VER,2026-03-10,VES,VES,21.9495,29.0,feb23,24.0,29.0,por_debajo
S00059,880.0,[0880] CLASICO API SL SAE 15W-,2026-03-10,USD,USD,58.0371,62.0,feb23,62.0,78.0,por_debajo
S00059,884.0,[0884] TRANSMATIC ATF DEXRON I,2026-03-10,USD,USD,62.8275,67.0,feb23,67.0,83.0,por_debajo
S00059,127.0,[0127] TRANSGLOB API GL-5 SAE ,2026-03-10,USD,USD,34.0592,36.0,feb23,36.0,45.0,por_debajo
S00059,25.0,[0025] SS EXTRA PROTECCION API,2026-03-10,USD,USD,33.4809,36.0,feb23,36.0,45.0,por_debajo
S00059,19.0,[0019] ELITE API SN SAE 5W-40 ,2026-03-10,USD,USD,43.1567,46.0,feb23,46.0,58.0,por_debajo
S00059,792.0,[0792] REFRIGERANTE GLOBAL ROJ,2026-03-10,USD,USD,21.9495,24.0,feb23,24.0,29.0,por_debajo
S00059,881.0,[0881] CLASICO API SL SAE 20W-,2026-03-10,USD,USD,58.7794,63.0,feb23,63.0,79.0,por_debajo
S00059,877.0,[0877] SS EXTRA PROTECCION API,2026-03-10,USD,USD,71.4329,72.0,feb23,72.0,96.0,por_debajo
S00059,878.0,[0878] SS EXTRA PROTECCION API,2026-03-10,USD,USD,66.9705,72.0,feb23,72.0,90.0,por_debajo
S00059,121.0,[0121] TRANSGLOB API GL-5 SAE ,2026-03-10,USD,USD,34.0592,36.0,feb23,36.0,45.0,por_debajo
S00064,774.0,[0774] LIGA PARA FRENOS DOT-4 ,2026-03-11,VES,VES,44.6585,59.0,feb23,47.0,59.0,por_debajo
S00064,775.0,[0775] LIGA PARA FRENOS DOT-4 ,2026-03-11,VES,VES,28.7682,38.0,feb23,31.0,38.0,por_debajo
S00065,880.0,[0880] CLASICO API SL SAE 15W-,2026-03-11,VES,VES,57.4917,78.0,feb23,62.0,78.0,por_debajo
S00065,881.0,[0881] CLASICO API SL SAE 20W-,2026-03-11,VES,VES,58.2271,79.0,feb23,63.0,79.0,por_debajo
S00065,877.0,[0877] SS EXTRA PROTECCION API,2026-03-11,VES,VES,70.7617,96.0,feb23,72.0,96.0,por_debajo
S00065,878.0,[0878] SS EXTRA PROTECCION API,2026-03-11,VES,VES,66.3412,90.0,feb23,72.0,90.0,por_debajo
S00063,887.0,[0887] MOTOCLASICO 4T SAE 20W-,2026-03-11,VES,VES,62.0679,82.0,feb23,66.0,82.0,por_debajo
S00054,884.0,[0884] TRANSMATIC ATF DEXRON I,2026-03-11,VES,VES,62.8275,83.0,feb23,67.0,83.0,por_debajo
S00054,121.0,[0121] TRANSGLOB API GL-5 SAE ,2026-03-11,VES,VES,34.0592,45.0,feb23,36.0,45.0,por_debajo
S00054,877.0,[0877] SS EXTRA PROTECCION API,2026-03-11,VES,VES,71.4329,96.0,feb23,72.0,96.0,por_debajo
S00054,880.0,[0880] CLASICO API SL SAE 15W-,2026-03-11,VES,VES,58.0371,78.0,feb23,62.0,78.0,por_debajo
S00054,915.0,[0915] SINOCO SAE 50 (1x12),2026-03-11,VES,VES,52.6856,,,,,producto_sin_lista
S00054,887.0,[0887] MOTOCLASICO 4T SAE 20W-,2026-03-11,VES,VES,62.0679,82.0,feb23,66.0,82.0,por_debajo
S00054,93.0,[0093] ALTA CILINDRADA SS API ,2026-03-11,VES,VES,31.7978,42.0,feb23,34.0,42.0,por_debajo
S00067,886.0,[0886] TRANSMATIC DEXRON VI (1,2026-03-11,VES,VES,138.36,131.0,feb23,105.0,131.0,por_encima
S00069,878.0,[0878] SS EXTRA PROTECCION API,2026-03-11,USD,USD,66.6398,72.0,feb23,72.0,90.0,por_debajo
S00069,121.0,[0121] TRANSGLOB API GL-5 SAE ,2026-03-11,USD,USD,33.891,36.0,feb23,36.0,45.0,por_debajo
S00069,127.0,[0127] TRANSGLOB API GL-5 SAE ,2026-03-11,USD,USD,33.891,36.0,feb23,36.0,45.0,por_debajo
S00069,789.0,[0789] REFRIGERANTE GLOBAL VER,2026-03-11,USD,USD,21.8411,24.0,feb23,24.0,29.0,por_debajo
S00069,877.0,[0877] SS EXTRA PROTECCION API,2026-03-11,USD,USD,71.0801,72.0,feb23,72.0,96.0,por_debajo
S00069,884.0,[0884] TRANSMATIC ATF DEXRON I,2026-03-11,USD,USD,62.5172,67.0,feb23,67.0,83.0,por_debajo
S00069,605.0,[0605] SINOCO SAE 20W-50 (PAIL,2026-03-11,USD,USD,73.3905,,,,,producto_sin_lista
S00069,887.0,[0887] MOTOCLASICO 4T SAE 20W-,2026-03-11,USD,USD,61.7614,66.0,feb23,66.0,82.0,por_debajo
S00069,881.0,[0881] CLASICO API SL SAE 20W-,2026-03-11,USD,USD,58.4891,63.0,feb23,63.0,79.0,por_debajo
S00066,877.0,[0877] SS EXTRA PROTECCION API,2026-03-11,USD,USD,90.48,72.0,feb23,72.0,96.0,por_encima
S00062,880.0,[0880] CLASICO API SL SAE 15W-,2026-03-11,USD,USD,67.25,62.0,feb23,62.0,78.0,por_encima
S00062,878.0,[0878] SS EXTRA PROTECCION API,2026-03-11,USD,USD,77.59,72.0,feb23,72.0,90.0,por_encima
S00062,884.0,[0884] TRANSMATIC ATF DEXRON I,2026-03-11,USD,USD,71.56,67.0,feb23,67.0,83.0,por_encima
S00062,881.0,[0881] CLASICO API SL SAE 20W-,2026-03-11,USD,USD,68.11,63.0,feb23,63.0,79.0,por_encima
S00062,762.0,[0762] LIGA PARA FRENOS DOT-3 ,2026-03-11,USD,USD,42.25,39.0,feb23,39.0,49.0,por_encima
S00062,877.0,[0877] SS EXTRA PROTECCION API,2026-03-11,USD,USD,90.48,72.0,feb23,72.0,96.0,por_encima
S00062,774.0,[0774] LIGA PARA FRENOS DOT-4 ,2026-03-11,USD,USD,50.87,47.0,feb23,47.0,59.0,por_encima
S00062,887.0,[0887] MOTOCLASICO 4T SAE 20W-,2026-03-11,USD,USD,70.69,66.0,feb23,66.0,82.0,por_encima
S00062,761.0,[0761] LIGA PARA FRENOS DOT-3 ,2026-03-11,USD,USD,28.45,26.0,feb23,26.0,33.0,por_encima
S00062,775.0,[0775] LIGA PARA FRENOS DOT-4 ,2026-03-11,USD,USD,32.76,31.0,feb23,31.0,38.0,por_encima
S00062,888.0,[0888] ENDUROGLOB 2T AIRE (1x1,2026-03-11,USD,USD,70.69,66.0,feb23,66.0,82.0,por_encima
S00072,121.0,[0121] TRANSGLOB API GL-5 SAE ,2026-03-11,VES,VES,33.891,45.0,feb23,36.0,45.0,por_debajo
S00072,127.0,[0127] TRANSGLOB API GL-5 SAE ,2026-03-11,VES,VES,33.891,45.0,feb23,36.0,45.0,por_debajo
S00061,603.0,[0603] SINOCO SAE 50 (Tambor),2026-03-11,USD,USD,696.3067,,,,,producto_sin_lista
S00061,606.0,[0606] SINOCO SAE 20W-50 (Tamb,2026-03-11,USD,USD,696.3067,,,,,producto_sin_lista
S00061,779.0,[0779] SINOCO SAE 20W-50 (1x12,2026-03-11,USD,USD,51.5463,,,,,producto_sin_lista
S00061,915.0,[0915] SINOCO SAE 50 (1x12),2026-03-11,USD,USD,52.6856,,,,,producto_sin_lista
S00061,602.0,[0602] SINOCO SAE 50 (PAILA),2026-03-11,USD,USD,73.7547,,,,,producto_sin_lista
S00061,605.0,[0605] SINOCO SAE 20W-50 (PAIL,2026-03-11,USD,USD,73.7547,,,,,producto_sin_lista
S00074,884.0,[0884] TRANSMATIC ATF DEXRON I,2026-03-12,VES,VES,62.5172,83.0,feb23,67.0,83.0,por_debajo
S00074,561.0,[0561] MEJORADOR DE OCTANAJE G,2026-03-12,VES,VES,32.388,43.0,feb23,34.0,43.0,por_debajo
S00074,93.0,[0093] ALTA CILINDRADA SS API ,2026-03-12,VES,VES,31.6408,42.0,feb23,34.0,42.0,por_debajo
S00073,885.0,[0885] TRANSMATIC ATF MERCON V,2026-03-12,Sin Pago,INDETERMINADA,98.667,,,105.0,131.0,lista_indeterminada
S00073,761.0,[0761] LIGA PARA FRENOS DOT-3 ,2026-03-12,Sin Pago,INDETERMINADA,24.8557,,,26.0,33.0,lista_indeterminada
S00073,7.0,[0007] ELITE API SN SAE 5W-20 ,2026-03-12,Sin Pago,INDETERMINADA,42.9435,,,46.0,58.0,lista_indeterminada
S00073,13.0,[0013] ELITE API SN SAE 5W-30 ,2026-03-12,Sin Pago,INDETERMINADA,42.9435,,,46.0,58.0,lista_indeterminada
S00073,884.0,[0884] TRANSMATIC ATF DEXRON I,2026-03-12,Sin Pago,INDETERMINADA,62.5172,,,67.0,83.0,lista_indeterminada
S00076,761.0,[0761] LIGA PARA FRENOS DOT-3 ,2026-03-12,nan,INDETERMINADA,24.8422,,,26.0,33.0,lista_indeterminada
S00076,886.0,[0886] TRANSMATIC DEXRON VI (1,2026-03-12,nan,INDETERMINADA,98.6134,,,105.0,131.0,lista_indeterminada
S00076,885.0,[0885] TRANSMATIC ATF MERCON V,2026-03-12,nan,INDETERMINADA,98.6134,,,105.0,131.0,lista_indeterminada
S00076,121.0,[0121] TRANSGLOB API GL-5 SAE ,2026-03-12,nan,INDETERMINADA,33.8726,,,36.0,45.0,lista_indeterminada
S00076,25.0,[0025] SS EXTRA PROTECCION API,2026-03-12,nan,INDETERMINADA,33.2975,,,36.0,45.0,lista_indeterminada
S00076,877.0,[0877] SS EXTRA PROTECCION API,2026-03-12,nan,INDETERMINADA,71.0415,,,72.0,96.0,lista_indeterminada
S00076,878.0,[0878] SS EXTRA PROTECCION API,2026-03-12,nan,INDETERMINADA,66.6035,,,72.0,90.0,lista_indeterminada
S00076,880.0,[0880] CLASICO API SL SAE 15W-,2026-03-12,nan,INDETERMINADA,57.7191,,,62.0,78.0,lista_indeterminada
S00076,938.0,[0938] CLASICO API SL SAE 20W-,2026-03-12,nan,INDETERMINADA,56.9808,,,62.0,77.0,lista_indeterminada
S00076,762.0,[0762] LIGA PARA FRENOS DOT-3 ,2026-03-12,nan,INDETERMINADA,36.8856,,,39.0,49.0,lista_indeterminada
S00076,13.0,[0013] ELITE API SN SAE 5W-30 ,2026-03-12,nan,INDETERMINADA,42.9202,,,46.0,58.0,lista_indeterminada
S00076,19.0,[0019] ELITE API SN SAE 5W-40 ,2026-03-12,nan,INDETERMINADA,42.9202,,,46.0,58.0,lista_indeterminada
S00076,792.0,[0792] REFRIGERANTE GLOBAL ROJ,2026-03-12,nan,INDETERMINADA,21.8292,,,24.0,29.0,lista_indeterminada
S00077,25.0,[0025] SS EXTRA PROTECCION API,2026-03-12,USD,USD,38.8,36.0,mar12,36.0,45.0,por_encima
S00078,884.0,[0884] TRANSMATIC ATF DEXRON I,2026-03-12,VES,VES,62.8768,83.0,feb23,67.0,83.0,por_debajo
S00078,127.0,[0127] TRANSGLOB API GL-5 SAE ,2026-03-12,VES,VES,34.086,45.0,feb23,36.0,45.0,por_debajo
S00078,877.0,[0877] SS EXTRA PROTECCION API,2026-03-12,VES,VES,71.489,96.0,feb23,72.0,96.0,por_debajo
S00078,761.0,[0761] LIGA PARA FRENOS DOT-3 ,2026-03-12,VES,VES,24.9987,33.0,feb23,26.0,33.0,por_debajo
S00078,789.0,[0789] REFRIGERANTE GLOBAL VER,2026-03-12,VES,VES,21.9667,29.0,feb23,24.0,29.0,por_debajo
S00078,792.0,[0792] REFRIGERANTE GLOBAL ROJ,2026-03-12,VES,VES,21.9667,29.0,feb23,24.0,29.0,por_debajo
S00079,602.0,[0602] SINOCO SAE 50 (PAILA),2026-03-12,VES,VES,100.5,,,,,producto_sin_lista
S00079,779.0,[0779] SINOCO SAE 20W-50 (1x12,2026-03-12,VES,VES,72.0,,,,,producto_sin_lista
S00082,602.0,[0602] SINOCO SAE 50 (PAILA),2026-03-12,USD,USD,72.42,,,,,producto_sin_lista
S00082,603.0,[0603] SINOCO SAE 50 (Tambor),2026-03-12,USD,USD,683.62,,,,,producto_sin_lista
S00081,121.0,[0121] TRANSGLOB API GL-5 SAE ,2026-03-12,USD,USD,38.8,36.0,mar12,36.0,45.0,por_encima
S00083,775.0,[0775] LIGA PARA FRENOS DOT-4 ,2026-03-12,VES,VES,28.7908,38.0,feb23,31.0,38.0,por_debajo
S00083,877.0,[0877] SS EXTRA PROTECCION API,2026-03-12,VES,VES,80.4208,96.0,feb23,72.0,96.0,por_debajo
S00083,774.0,[0774] LIGA PARA FRENOS DOT-4 ,2026-03-12,VES,VES,44.6936,59.0,feb23,47.0,59.0,por_debajo
S00083,881.0,[0881] CLASICO API SL SAE 20W-,2026-03-12,VES,VES,58.8256,79.0,feb23,63.0,79.0,por_debajo
S00083,878.0,[0878] SS EXTRA PROTECCION API,2026-03-12,VES,VES,67.0231,90.0,feb23,72.0,90.0,por_debajo
S00083,795.0,[0795] REFRIGERANTE GLOBAL ORA,2026-03-12,VES,VES,32.5743,43.0,feb23,34.0,43.0,por_debajo
S00083,602.0,[0602] SINOCO SAE 50 (PAILA),2026-03-12,VES,VES,73.8127,,,,,producto_sin_lista
S00083,789.0,[0789] REFRIGERANTE GLOBAL VER,2026-03-12,VES,VES,21.9667,29.0,feb23,24.0,29.0,por_debajo
S00083,762.0,[0762] LIGA PARA FRENOS DOT-3 ,2026-03-12,VES,VES,37.118,49.0,feb23,39.0,49.0,por_debajo
S00083,792.0,[0792] REFRIGERANTE GLOBAL ROJ,2026-03-12,VES,VES,21.9667,29.0,feb23,24.0,29.0,por_debajo
S00087,877.0,[0877] SS EXTRA PROTECCION API,2026-03-12,USD,USD,80.4208,72.0,mar12,72.0,96.0,por_encima
S00087,761.0,[0761] LIGA PARA FRENOS DOT-3 ,2026-03-12,USD,USD,24.9987,26.0,mar12,26.0,33.0,por_debajo
S00087,779.0,[0779] SINOCO SAE 20W-50 (1x12,2026-03-12,USD,USD,51.5868,,,,,producto_sin_lista
S00087,878.0,[0878] SS EXTRA PROTECCION API,2026-03-12,USD,USD,67.0231,72.0,mar12,72.0,90.0,por_debajo
S00087,884.0,[0884] TRANSMATIC ATF DEXRON I,2026-03-12,USD,USD,62.8768,67.0,mar12,67.0,83.0,por_debajo
S00086,884.0,[0884] TRANSMATIC ATF DEXRON I,2026-03-12,VES,VES,62.8768,83.0,feb23,67.0,83.0,por_debajo
S00086,915.0,[0915] SINOCO SAE 50 (1x12),2026-03-12,VES,VES,52.7271,,,,,producto_sin_lista
